occurrenceID,datasetName,datasetProvider,scientificName,sex,individualCountEnd,plantScientificName,endYear,endMonth,endDay,verbatimEventDate,startYear,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMetersEnd,manualGeoreferencing,geometry,license,recordedBy,individualCount,year,month,day,gbifRegion,habitat,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,databaseName
https://www.inaturalist.org/observations/175584862,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023/07/26 13:59,,,44.280292,3.815122,,,3826866.45542789|2372636.50546308,CC_BY_NC_4_0,Esteban,,2023,7,26,EUROPE,,FR,Languedoc-Roussillon,,,,"48240 Saint-Privat-de-Vallongue, France",,GBIF
https://www.inaturalist.org/observations/176079336,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-30 16:55:30+02:00,,,43.694747,6.711547,,,4055338.24215805|2293120.54885286,CC_BY_NC_4_0,lucasld,,2023,7,30,EUROPE,,FR,Provence-Alpes-Côte d'Azur,,,,"De Saint Raphael (var) a Rougon (alpes de Haute-Provence), Mons, Provence-Alpes-Côte d'Azur, FR",,GBIF
https://www.inaturalist.org/observations/175760261,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-24 20:21:34+02:00,,,44.038006,4.448538,,,3875478.12977742|2341860.77681071,CC_BY_NC_4_0,tristandub,,2023,7,24,EUROPE,,FR,Languedoc-Roussillon,,,,"Chemin de l'Ancien Stade, Saint-Quentin-la-Poterie, Occitanie, FR",,GBIF
https://www.inaturalist.org/observations/176835055,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-08-05 18:33:02+02:00,,,49.778413,9.174312,,,4261522.80610734|2963201.61513697,CC_BY_NC_4_0,kafum,,2023,8,5,EUROPE,,DE,Bayern,,,,"Alexander-Wiegand-Straße, Klingenberg am Main, Bayern, DE",,GBIF
https://www.inaturalist.org/observations/174880140,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-25 10:24:52,,,46.585054,30.790712,,,5892241.55312421|2830307.94932878,CC_BY_NC_4_0,oleksandrshvets,,2023,7,25,EUROPE,,UA,Odessa,,,,"Суворовский район, Одесса, Одесская область, Украина, 65000",,GBIF
https://www.inaturalist.org/observations/175818753,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023-07-30 17:49:54,,,42.549539,23.358327,,,5415173.18806305|2257870.60721369,CC_BY_NC_4_0,Jean-Léonard Stör,,2023,7,30,EUROPE,,BG,Grad Sofiya,,,,Sofia,,GBIF
https://www.inaturalist.org/observations/175200533,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-07 20:43:19,,,41.683691,2.497378,,,3695083.49300464|2095709.47610773,CC_BY_NC_4_0,Seán,,2023,7,7,EUROPE,,ES,Cataluña,,,,"08470 Sant Celoni, Barcelona, Espanya",,GBIF
https://www.inaturalist.org/observations/175509532,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023-07-29 11:48:49,,,43.662202,3.528886,,,3798476.63387724|2306243.52877104,CC0_1_0,Crebassa Jason,,2023,7,29,EUROPE,,FR,Languedoc-Roussillon,,,,"Saint-André-de-Sangonis, France",,GBIF
https://www.inaturalist.org/observations/174844386,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-25 13:27:08+02:00,,,46.814755,12.763572,,,4532051.0763472|2637408.5799526,CC_BY_NC_4_0,Petra Heinz-Prugger,,2023,7,25,EUROPE,,AT,Tirol,,,,"Enzianfeld, Amlach, Tirol, AT",,GBIF
https://www.inaturalist.org/observations/172124365,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-10 10:47:37,,,44.438758,26.062095,,,5591146.4990174|2506978.20274128,CC_BY_NC_4_0,sgtowers83,,2023,7,10,EUROPE,,RO,Bucharest,,,,"Bucharest, Municipiul Bucuresti, RO",,GBIF
