occurrenceID,datasetName,datasetProvider,scientificName,sex,individualCountEnd,plantScientificName,endYear,endMonth,endDay,verbatimEventDate,startYear,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMetersEnd,manualGeoreferencing,geometry
AM_Osmiini_RL_3035,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1989,7,27,27/07/1989,,Austria,47.92525,16.86831,,not_provided,4833727.97614082|2780696.6356364
AM_Osmiini_RL_3036,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1989,8,10,10/08/1989,,Austria,47.89834,16.88054,,not_provided,4834908.54412885|2777801.54663025
AM_Osmiini_RL_3032,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1991,9,22,22/09/1991,,Austria,47.76222,16.80018,,not_provided,4830277.62821702|2762170.99043299
AM_Osmiini_RL_14019,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1991,9,3,03/09/1991,,Austria,47.7459,16.83047,,not_provided,4832701.34947227|2760572.87434186
AM_Osmiini_RL_3033,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1991,9,3,03/09/1991,,Austria,47.7459,16.83047,,not_provided,4832701.34947227|2760572.87434186
OOLAM_OZOBODAT_bees_RL_11063,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,M,1,,1992,,,19920600,,Austria,47.7400016784668,16.8400001525879,500,provided,4833471.8154678|2759985.72091087
OOLAM_OZOBODAT_bees_RL_11064,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,F,2,,1992,,,19920600,,Austria,47.7400016784668,16.8400001525879,500,provided,4833471.8154678|2759985.72091087
AM_Osmiini_RL_14020,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,2007,7,18,18.07.2007,,Austria,47.76666,16.76665,,not_provided,4827730.72922124|2762432.25897271
AM_Osmiini_RL_3034,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,2,,2007,7,18,18.07.2007,,Austria,47.76666,16.76665,,not_provided,4827730.72922124|2762432.25897271
DZ_bees_AU_RL_167,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2016,6,30,30/06/2016,,Austria,48.2299,16.3913,200,provided,4795372.90077289|2811256.30586944
DZ_bees_AU_RL_219,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2016,7,11,11/07/2016,,Austria,48.2166,16.3833,200,provided,4794905.35489635|2809731.16524173
DZ_bees_AU_RL_199,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2016,7,5,05/07/2016,,Austria,48.2259,16.3938,200,provided,4795595.43772088|2810829.1477576
DZ_bees_AU_RL_289,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2016,8,2,02/08/2016,,Austria,48.1838,16.3255,200,provided,4790930.56040598|2805727.03128419
DZ_bees_AU_RL_490,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2016,8,25,25/08/2016,,Austria,48.2259,16.3938,200,provided,4795595.43772088|2810829.1477576
DZ_bees_AU_RL_301,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2016,8,9,09/08/2016,,Austria,48.2166,16.3833,200,provided,4794905.35489635|2809731.16524173
OOLAM_OZOBODAT_bees_RL_12581,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,M,2,,2017,6,24,20170624,,Austria,48.2,16.516666666667,100,provided,4804936.1094254|2808757.25720281
OOLAM_OZOBODAT_bees_RL_14633,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,F,1,,2017,8,29,20170829,,Austria,48.2,16.516666666667,100,provided,4804936.1094254|2808757.25720281
OOLAM_OZOBODAT_bees_RL_10778,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,M,2,,2018,6,16,20180616,,Austria,47.7599983215332,16.7600002288818,500,provided,4827300.05257187|2761648.92562347
OOLAM_OZOBODAT_bees_RL_14845,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,F,1,,2019,6,26,20190626,,Austria,48.1163902282715,16.2647228240967,500,provided,4787046.77813706|2797871.77292628
OOLAM_OZOBODAT_bees_RL_14828,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,M,1,,2019,8,10,20190810,,Austria,47.7613906860352,16.8005561828613,5000,provided,4830313.93909276|2762081.74118713
OOLAM_OZOBODAT_bees_RL_14829,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,F,2,,2019,8,10,20190810,,Austria,47.7613906860352,16.8005561828613,5000,provided,4830313.93909276|2762081.74118713
OOLAM_OZOBODAT_bees_RL_14827,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,F,2,,2019,9,15,20190915,,Austria,47.7613906860352,16.8005561828613,5000,provided,4830313.93909276|2762081.74118713
OOLAM_OZOBODAT_bees_RL_14379,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,M,3,,2020,6,30,20200630,,Austria,47.7613906860352,16.8005561828613,5000,provided,4830313.93909276|2762081.74118713
OOLAM_OZOBODAT_bees_RL_14380,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,F,4,,2020,6,30,20200630,,Austria,47.7613906860352,16.8005561828613,5000,provided,4830313.93909276|2762081.74118713
